metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices,ent_earningsZ,pricesZ,ent_ratioZ,female_ent_ratioZ,estab_changeZ,finalZ
40060,"Richmond, VA Metro Area",35293,692991,65552,21855,1301540,7021,5.092851133708807,40060,0.016791646818384375,0.3212537176847403,-0.026658400495970243,-0.26045340050377835,97.7,0.07633106172466939,-0.08373070289624662,0.19816179472015905,0.1827599799118247,-0.010930367050006032,0.04586928500127297
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",67890,1139017,80561,31040,2324884,9396,5.960402698116007,40900,0.013351203758983243,0.3027061855670103,-0.10684474123539232,-0.2317185697808535,95.4,0.07662744170674958,0.6083275808727173,-0.3026932432628679,-0.011337756219330824,-0.5233378689594903,0.031483764536760384
24340,"Grand Rapids-Wyoming, MI Metro Area",22121,566637,69453,17546,1059113,5072,3.903910263537327,24340,0.016566693072410592,0.28906873361449903,-0.0861244019138756,-0.40034138655462187,96.7,0.07640809405927494,0.2171642030902598,0.16541333324620716,-0.1540520825123428,-0.39093056351880856,0.01992222543317837
38300,"Pittsburgh, PA Metro Area",58463,1220517,60034,32953,2333367,9774,4.790019311488492,38300,0.014122510518062525,0.296604254544351,0.059602649006622516,0.14220218537479942,98.1,0.0762220987863578,-0.20408866529084663,-0.19040745057706673,-0.07519374471466612,0.5402957954126418,0.016476114665665995
40380,"Rochester, NY Metro Area",28356,559378,52438,14591,1077948,5047,5.069201863498385,40380,0.013535903401648317,0.34589815639777943,0.015342960288808664,0.3892761394101877,98,0.07607210196152729,-0.1739991746921977,-0.27580491959487796,0.4406611244986728,0.25746712007895517,0.0034132205313288783
19820,"Detroit-Warren-Dearborn, MI Metro Area",137992,2161264,60600,74554,4313002,21706,6.384782238541891,19820,0.017285871882275965,0.291144673659361,-0.012574850299401197,-0.1831960921144452,98.2,0.07623327548499578,-0.23417815588949983,0.2701104097310043,-0.13232761477754706,0.07906646667123783,0.0015958221328429417
18140,"Columbus, OH Metro Area",44409,1103588,72736,27752,2078725,7570,4.02405607889901,18140,0.013350491286726239,0.2727731334678582,0,0.18360433604336043,96.9,0.07647292286073869,0.15698522189295766,-0.3027969640084761,-0.3245836161570794,0.15942239224889795,0.0012568751724114577
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",171760,3890029,75204,112736,7400479,36802,4.415391247725917,19100,0.015233608527231818,0.3264440817485098,0.05861126298523783,0.015615937826238255,99,0.07652165800603643,-0.47489408067870414,-0.02865530819973573,0.237076527691846,0.5339606312193224,-0.002395175229302021
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",14339,279081,56335,8167,555426,2160,5.13793486478836,42540,0.014704028979558033,0.26447900085710785,0.04397705544933078,-0.17892325315005728,98,0.07614905530886332,-0.1739991746921977,-0.10575078104600281,-0.41138073572531125,0.4404449818362535,-0.011169174760367634
27140,"Jackson, MS Metro Area",18835,281894,62396,9317,578794,2868,6.681589533654495,27140,0.016097264311654924,0.3078244069979607,-0.07355242566510173,0.1536276788019623,97.4,0.0762687407690131,0.006537768899704451,0.0970745304411024,0.042223827416682486,-0.3105930037262526,-0.021266233091647838
46140,"Tulsa, OK Metro Area",28219,490574,50382,16793,990773,5019,5.752241252084294,46140,0.016949392040356368,0.2988745310546061,-0.08571428571428572,0.4069952305246423,97.7,0.07603150250499074,-0.08373070289624662,0.2211261303531913,-0.05143556878941636,-0.38830983515800993,-0.048493208207781205
28940,"Knoxville, TN Metro Area",19206,433934,71400,10379,877874,3733,4.426018703305111,28940,0.011822881187960915,0.3596685615184507,-0.06397774687065369,-0.10407556410704916,97.1,0.07644654111271688,0.0968062406956598,-0.5251843719179513,0.5847667900160907,-0.24940880206038427,-0.05211077536281674
