metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices
38340,"Pittsfield, MA Metro Area",2713,66030,68623,2197,126313,869,4.108738452218688,38340,0.01739330076872531,0.3955393718707328,-0.013422818791946308,-0.23604240282685512,98
38460,"Plattsburgh, NY Micro Area",1486,39062,61458,541,80980,48,3.804208693871282,38460,0.006680661891825142,0.08872458410351201,NA,NA,NA
38540,"Pocatello, ID Metro Area",1746,39914,64651,1275,85269,573,4.374404970686977,38540,0.01495267916827921,0.44941176470588234,-0.24242424242424243,-0.6630958757364757,99.4
38660,"Ponce, PR Metro Area",20974,96472,18282,1798,300059,666,21.741023302098018,38660,0.005992154876207679,0.3704115684093437,NA,NA,NA
38820,"Port Angeles, WA Micro Area",2680,29577,49023,1750,75474,488,9.061094769584473,38820,0.023186792802819513,0.27885714285714286,NA,NA,NA
38860,"Portland-South Portland, ME Metro Area",11752,304776,62296,11907,532083,4184,3.855946662466861,38860,0.022378087629185674,0.351389938691526,0.03851261620185923,0.2067132867132867,98.3
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",60760,1332355,61652,55875,2451560,19591,4.560346153990491,38900,0.022791610240010442,0.3506219239373602,0.11182916549592582,0.21785126061066767,99
38940,"Port St. Lucie, FL Metro Area",11216,210094,55778,12717,473429,4736,5.338562738583682,38940,0.026861472364388326,0.37241487772273335,-0.03765690376569038,-0.11332007952286283,97.9
39020,"Portsmouth, OH Micro Area",1533,30379,42372,838,75929,78,5.046249053622568,39020,0.011036626321958672,0.09307875894988067,NA,NA,NA
39060,"Pottsville, PA Micro Area",4358,67032,52359,1346,142569,299,6.501372478816088,39060,0.009441042582889688,0.22213967310549776,NA,NA,NA
39140,"Prescott, AZ Metro Area",5567,92965,50529,5236,228168,1970,5.98827515731727,39140,0.022948003225693347,0.3762414056531704,-0.1509433962264151,-0.04078857919782461,99.4
39300,"Providence-Warwick, RI-MA Metro Area",46839,874135,72695,21250,1621122,5317,5.358325659080119,39300,0.013108205304721052,0.25021176470588236,0.05991855730075625,0.3157716606498195,98.7
39340,"Provo-Orem, UT Metro Area",10788,295005,60390,14009,617678,3626,3.656887171403875,39340,0.022680101930131882,0.2588336069669498,0.026511134676564158,0.7098116513359615,95.4
39380,"Pueblo, CO Metro Area",6002,74920,59095,2005,166475,558,8.011211959423385,39380,0.01204385042799219,0.27830423940149623,-0.06666666666666667,0.3630252100840336,95.4
39460,"Punta Gorda, FL Metro Area",3145,65993,45800,3969,182033,1419,4.765656963617353,39460,0.021803738882510314,0.35752078609221466,-0.21132075471698114,NA,97.9
39500,"Quincy, IL-MO Micro Area",1645,37550,50658,1831,75241,579,4.380825565912117,39500,0.024335136428277136,0.3162206444565811,NA,NA,NA
39540,"Racine, WI Metro Area",3934,100155,75560,2794,196071,766,3.927911736807948,39540,0.014249940072728756,0.27415891195418757,0.17105263157894737,0.9363166953528399,95.6
39580,"Raleigh, NC Metro Area",26900,721105,65185,24534,1335079,7370,3.7303860048120594,39580,0.018376440645085423,0.3003994456672373,0.11995318899941486,-0.037533023594789106,97.9
39660,"Rapid City, SD Metro Area",3444,77246,50439,2443,147087,859,4.4584832871605,39660,0.016609217673893683,0.35161686451084734,-0.08130081300813008,1.0311158798283262,96.2
39740,"Reading, PA Metro Area",13439,217043,41324,5130,417854,1546,6.191860599051801,39740,0.012277015416868093,0.301364522417154,-0.07103825136612021,0.03979328165374677,98
39820,"Redding, CA Metro Area",3386,79589,64382,3805,179921,858,4.2543567578434205,39820,0.0211481705859794,0.2254927726675427,0.1388888888888889,-0.024229074889867842,95.4
39900,"Reno, NV Metro Area",12167,249593,62028,7607,465208,2518,4.874736070322485,39900,0.01635182542002717,0.33101091100302354,-0.06747638326585695,0.2828009828009828,95.4
39980,"Richmond, IN Micro Area",1e3,31868,89150,831,66185,213,3.1379440190787,39980,0.012555715041172472,0.2563176895306859,NA,NA,NA
